"outcome","column","full","out_thr","out_bic","oal_fix","oal_wamd","oads_thr","oads_bic","trt_bic","bch"
"30-day survival (risk difference)","cat1COPD",1,0.2,0,0,1,0.2,0,1,1
"30-day survival (risk difference)","cat1CHF",1,0,0,0,1,0,0,1,1
"30-day survival (risk difference)","cat1Cirrhosis",1,0,0,0,1,0,0,1,1
"30-day survival (risk difference)","cat1Coma",1,1,1,1,1,1,1,0.8,1
"30-day survival (risk difference)","cat1Colon Cancer",1,0.2,0,0,1,0.2,0,0,0
"30-day survival (risk difference)","cat1Lung Cancer",1,0,0,0,1,0,0,0,0
"30-day survival (risk difference)","cat1MOSF w/Malignancy",1,1,0,0,1,1,0,0.2,0.2
"30-day survival (risk difference)","cat1MOSF w/Sepsis",1,0,0,0,1,0,0,1,1
"30-day survival (risk difference)","cat2Colon Cancer",1,0.4,0,0,1,0.4,0,0.2,0.2
"30-day survival (risk difference)","cat2Coma",1,0.4,0.2,0,1,0.4,0.2,0.4,0.6
"30-day survival (risk difference)","cat2Lung Cancer",1,0,0.2,0,0.8,0,0.2,0.2,0.4
"30-day survival (risk difference)","cat2MOSF w/Malignancy",1,0.8,0,0,1,0.8,0,1,1
"30-day survival (risk difference)","cat2MOSF w/Sepsis",1,1,0,1,1,1,1,1,1
"30-day survival (risk difference)","cat2None",1,1,0.6,1,1,1,1,0,0.6
"30-day survival (risk difference)","caYes",1,0.2,0,0,0.8,0.2,0,0,0
"30-day survival (risk difference)","caMetastatic",1,0.4,0,0,0.8,0.4,0,0,0
"30-day survival (risk difference)","cardiohx",1,0,0,0,0.8,0,0,0.2,0.2
"30-day survival (risk difference)","chfhx",1,0,0,0,0.8,0,0,0.2,0.2
"30-day survival (risk difference)","dementhx",1,0,0,0,0.8,0,0,1,1
"30-day survival (risk difference)","psychhx",1,0,0,0,1,0,0,0.8,0.8
"30-day survival (risk difference)","chrpulhx",1,0,0,0,1,0,0,0.2,0.2
"30-day survival (risk difference)","renalhx",1,0,0,0,1,0,0,0.2,0.2
"30-day survival (risk difference)","liverhx",1,0,0.8,0,1,0,0.8,0,0.8
"30-day survival (risk difference)","gibledhx",1,0,0,0,0.8,0,0,0.2,0.2
"30-day survival (risk difference)","malighx",1,0.2,0,0.2,1,0.2,0.2,1,1
"30-day survival (risk difference)","immunhx",1,0,0,0,1,0,0,0.2,0.2
"30-day survival (risk difference)","transhx",1,0,0,0,1,0,0,1,1
"30-day survival (risk difference)","amihx",1,0,0,0,1,0,0,0,0
"30-day survival (risk difference)","age",1,0,0,0,1,0,0,0.2,0.2
"30-day survival (risk difference)","sexMale",1,0,0,0,1,0,0,0.2,0.2
"30-day survival (risk difference)","edu",1,0,0,0,0.8,0,0,0.8,0.8
"30-day survival (risk difference)","surv2md1",1,1,1,1,1,1,1,0.2,1
"30-day survival (risk difference)","das2d3pc",1,0.8,0.6,0,1,0.8,0.6,0,0.6
"30-day survival (risk difference)","aps1",1,0.4,1,0.2,1,0.4,1,1,1
"30-day survival (risk difference)","scoma1",1,0,0.8,0,1,0,0.8,0.2,1
"30-day survival (risk difference)","meanbp1",1,0,0,0,0.8,0,0,1,1
"30-day survival (risk difference)","wblc1",1,0,0,0,0.8,0,0,0,0
"30-day survival (risk difference)","hrt1",1,0,0,0,1,0,0,1,1
"30-day survival (risk difference)","resp1",1,0,0,0,1,0,0,1,1
"30-day survival (risk difference)","temp1",1,0,0,0,0.8,0,0,0.4,0.4
"30-day survival (risk difference)","pafi1",1,0,0,0,1,0,0,1,1
"30-day survival (risk difference)","alb1",1,0,0,0,1,0,0,0.8,0.8
"30-day survival (risk difference)","hema1",1,0,0,0,1,0,0,1,1
"30-day survival (risk difference)","bili1",1,1,1,0.6,1,1,1,0.2,1
"30-day survival (risk difference)","crea1",1,0,0,0,1,0,0,0.8,0.8
"30-day survival (risk difference)","sod1",1,0,0,0,1,0,0,1,1
"30-day survival (risk difference)","pot1",1,0,0,0,1,0,0,1,1
"30-day survival (risk difference)","paco21",1,0.2,0,0,1,0.2,0,1,1
"30-day survival (risk difference)","ph1",1,0,0,0,1,0,0,0.6,0.6
"30-day survival (risk difference)","wtkilo1",1,0,0,0,1,0,0,1,1
"30-day survival (risk difference)","dnr1Yes",1,1,1,1,1,1,1,1,1
"30-day survival (risk difference)","ninsclasPrivate",1,0.8,0,0,1,0.8,0,0.6,0.6
"30-day survival (risk difference)","ninsclasMedicare",1,0.2,0,0,1,0.2,0,0.2,0.2
"30-day survival (risk difference)","ninsclasMedicaid",1,1,0,0,1,1,0,1,1
"30-day survival (risk difference)","ninsclasPrivate & Medicare",1,1,0,0,1,1,0,0,0
"30-day survival (risk difference)","ninsclasMedicare & Medicaid",1,0.2,0,0,1,0.2,0,0,0
"30-day survival (risk difference)","respYes",1,0,0,0,1,0,0,1,1
"30-day survival (risk difference)","cardYes",1,0,0.2,0,0.8,0,0.2,1,1
"30-day survival (risk difference)","neuroYes",1,0.2,0.2,0,1,0.2,0.2,1,1
"30-day survival (risk difference)","gastrYes",1,0,0,0,1,0,0,1,1
"30-day survival (risk difference)","renalYes",1,0,0,0,1,0,0,0.6,0.6
"30-day survival (risk difference)","metaYes",1,0,0,0,0.8,0,0,0,0
"30-day survival (risk difference)","hemaYes",1,0,1,0,1,0,1,0.8,1
"30-day survival (risk difference)","sepsYes",1,0,0,0,0.8,0,0,0.4,0.4
"30-day survival (risk difference)","traumaYes",1,0,0,0,1,0,0,1,1
"30-day survival (risk difference)","orthoYes",1,0.2,0,0,0.8,0.2,0,0.2,0.2
