"outcome","split","arm","estimate","se_emp","se_stk","mean_size"
"30-day survival (risk difference)",1,"full",-0.0713880709221463,0.0159253790898329,0.0173922033693919,74
"30-day survival (risk difference)",1,"out_thr",-0.0735250546405503,0.0128705855983781,0.0132124512809538,15.8
"30-day survival (risk difference)",1,"out_bic",-0.0581911766773137,0.0122228181344963,0.0126233282174531,10.8
"30-day survival (risk difference)",1,"oal_fix",-0.0660611294836202,0.0122032804054558,0.0123999831924643,6
"30-day survival (risk difference)",1,"oal_wamd",-0.0707167866147062,0.0158848684125881,0.0172808293185322,70.2
"30-day survival (risk difference)",1,"oads_thr",-0.0735250546405503,0.0128705855983781,0.0132124512809538,15.8
"30-day survival (risk difference)",1,"oads_bic",-0.0604907952289221,0.012348334325382,0.0127733012962981,12.4
"30-day survival (risk difference)",1,"trt_bic",-0.0621885417138765,0.0158161935474559,0.0173530709532333,38.2
"30-day survival (risk difference)",1,"bch",-0.0625380291629705,0.0154424893223741,0.0164503056093675,44.4
"30-day survival (risk difference)",1,"oal_ipw",-0.0623171709531875,0.0168862568735644,NA,74
"30-day survival (risk difference)",2,"full",-0.0706861100613994,0.0159325012667284,0.0176720654407903,74
"30-day survival (risk difference)",2,"out_thr",-0.065203063310134,0.0131128767964966,0.0136891820083261,16
"30-day survival (risk difference)",2,"out_bic",-0.0530951546325458,0.0124158359272377,0.0127764944636974,9.6
"30-day survival (risk difference)",2,"oal_fix",-0.0694831624808057,0.0121026196458415,0.0123613741520736,6
"30-day survival (risk difference)",2,"oal_wamd",-0.0701028261958783,0.0159221460359336,0.0173351781276171,70.2
"30-day survival (risk difference)",2,"oads_thr",-0.065203063310134,0.0131128767964966,0.0136891820083261,16
"30-day survival (risk difference)",2,"oads_bic",-0.0555423553416008,0.0125155153156643,0.0129402681670593,11.6
"30-day survival (risk difference)",2,"trt_bic",-0.0623691473159804,0.0153138044417679,0.0163001567634217,41.6
"30-day survival (risk difference)",2,"bch",-0.0601077361897586,0.0152448773137441,0.0163007264009416,45.6
"30-day survival (risk difference)",2,"oal_ipw",-0.0623171709531875,0.0168862568735644,NA,74
"30-day survival (risk difference)",3,"full",-0.0708503506599372,0.016232514837457,0.0180973473395503,74
"30-day survival (risk difference)",3,"out_thr",-0.0725880157637871,0.0129820594317642,0.0135087489199828,16.8
"30-day survival (risk difference)",3,"out_bic",-0.0602873181735136,0.0124402432070621,0.0129107501798279,11.2
"30-day survival (risk difference)",3,"oal_fix",-0.0688213801271844,0.0121949479751345,0.0125144869373543,5.8
"30-day survival (risk difference)",3,"oal_wamd",-0.0722695021323968,0.0161888899501499,0.0179598658088376,70.2
"30-day survival (risk difference)",3,"oads_thr",-0.0725880157637871,0.0129820594317642,0.0135087489199828,16.8
"30-day survival (risk difference)",3,"oads_bic",-0.0621696060260978,0.0125675846156335,0.0130962349366509,12.8
