"outcome","n","p","arm","estimate","se_emp","se_stk","lo_emp","hi_emp","lo_stk","hi_stk","lo_w1","hi_w1","mean_size","trim_frac"
"30-day survival (risk difference)",5735,74,"full",-0.0713880709221463,0.0159253790898329,0.0173922033693919,-0.102601813938219,-0.0401743279060738,-0.105476789526154,-0.0372993523181382,-0.122868992895546,-0.0199071489487463,74,0.0725370531822145
"30-day survival (risk difference)",5735,74,"out_thr",-0.0735250546405503,0.0128705855983781,0.0132124512809538,-0.0987514024133713,-0.0482987068677292,-0.0994214591512196,-0.0476286501298809,-0.112633910432173,-0.0344161988489271,15.8,0.004359197907585
"30-day survival (risk difference)",5735,74,"out_bic",-0.0581911766773137,0.0122228181344963,0.0126233282174531,-0.0821479002209265,-0.0342344531337008,-0.0829328999835217,-0.0334494533711057,-0.0955562282009747,-0.0208261251536526,10.8,0.0013949433304272
"30-day survival (risk difference)",5735,74,"oal_fix",-0.0660611294836202,0.0122032804054558,0.0123999831924643,-0.0899795590783136,-0.0421426998889267,-0.0903650965408501,-0.0417571624263902,-0.102765079733314,-0.0293571792339259,6,0.000871839581517001
"30-day survival (risk difference)",5735,74,"oal_wamd",-0.0707167866147062,0.0158848684125881,0.0172808293185322,-0.101851128703379,-0.0395824445260335,-0.104587212079029,-0.0368463611503831,-0.121868041397562,-0.0195655318318509,70.2,0.0720139494333043
"30-day survival (risk difference)",5735,74,"oads_thr",-0.0735250546405503,0.0128705855983781,0.0132124512809538,-0.0987514024133713,-0.0482987068677292,-0.0994214591512196,-0.0476286501298809,-0.112633910432173,-0.0344161988489271,15.8,0.004359197907585
"30-day survival (risk difference)",5735,74,"oads_bic",-0.0604907952289221,0.012348334325382,0.0127733012962981,-0.0846935305066708,-0.0362880599511734,-0.0855264657696663,-0.0354551246881779,-0.0982997670659643,-0.0226818233918799,12.4,0.0036617262423714
"30-day survival (risk difference)",5735,74,"trt_bic",-0.0621885417138765,0.0158161935474559,0.0173530709532333,-0.0931882810668901,-0.031188802360863,-0.0962005607822137,-0.0281765226455394,-0.113553631735447,-0.0108234516923061,38.2,0.0610287707061901
"30-day survival (risk difference)",5735,74,"bch",-0.0625380291629705,0.0154424893223741,0.0164503056093675,-0.0928053082348237,-0.0322707500911172,-0.0947806281573307,-0.0302954301686102,-0.111230933766698,-0.0138451245592428,44.4,0.0673060156931125
"30-day survival (risk difference)",5735,74,"oal_ipw",-0.0623171709531875,0.0168862568735644,NA,-0.0954142344253736,-0.0292201074810013,NA,NA,NA,NA,74,0.0702702702702703
"length of stay (days)",5734,74,"full",2.35314295619985,0.975146221903434,1.08945767053995,0.441856361269124,4.26442955113059,0.217805921941545,4.48847999045817,-0.871651748598409,5.57793766099812,74,0.0741192884548308
"length of stay (days)",5734,74,"out_thr",2.3398998232139,0.949224864386416,1.02942374229364,0.47941908901652,4.20038055741127,0.322229288318355,4.35757035810944,-0.707194453975288,5.38699410040308,63.4,0.0582490408092082
"length of stay (days)",5734,74,"out_bic",2.24309305608976,0.963665128353529,1.07570786622116,0.354309404516845,4.13187670766268,0.134705638296285,4.35148047388324,-0.941002227924876,5.4271883401044,73.4,0.0716777118939658
"length of stay (days)",5734,74,"oal_fix",2.55781952207065,0.968016284433487,1.02365060051217,0.660507604581014,4.45513143956028,0.551464345066791,4.56417469907451,-0.472186255445381,5.58782529958668,38.4,0.04795953958842
"length of stay (days)",5734,74,"oal_wamd",2.37102952297215,0.967454117490053,1.07636443940189,0.474819452691642,4.26723959325265,0.261355221744448,4.48070382419984,-0.815009217657439,5.55706826360173,72,0.0718521102197419
"length of stay (days)",5734,74,"oads_thr",2.3398998232139,0.949224864386416,1.02942374229364,0.47941908901652,4.20038055741127,0.322229288318355,4.35757035810944,-0.707194453975288,5.38699410040308,63.4,0.0582490408092082
"length of stay (days)",5734,74,"oads_bic",2.24309305608976,0.963665128353529,1.07570786622116,0.354309404516845,4.13187670766268,0.134705638296285,4.35148047388324,-0.941002227924876,5.4271883401044,73.4,0.0716777118939658
"length of stay (days)",5734,74,"trt_bic",2.82748142891249,0.944957564624296,1.1017177203249,0.975364602248871,4.67959825557611,0.668114697075681,4.9868481607493,-0.433603023249222,6.0885658810742,44.2,0.0640041855598186
"length of stay (days)",5734,74,"bch",2.35427219592098,0.976052280246496,1.09039669285025,0.441209726637849,4.26733466520411,0.217094677934485,4.49144971390748,-0.873302014915768,5.58184640675773,73.6,0.0739448901290548
"length of stay (days)",5734,74,"oal_ipw",2.54167369858683,0.920057026239108,NA,0.738361927158179,4.34498547001548,NA,NA,NA,NA,74,0.0704569236135333
