"arm","estimate","se_emp","se_stk","mean_size","trim_frac","outcome","trim"
"full",-0.0790011957728908,0.0209707979893923,0.0227032702711249,74,0.004359197907585,"30-day survival (risk difference)",0.01
"out_thr",-0.0858304323362332,0.0191917341013858,0.0196887468556946,15.8,0.0012205754141238,"30-day survival (risk difference)",0.01
"out_bic",-0.0581908679248338,0.0122227838702973,0.0126233293110491,10.8,0,"30-day survival (risk difference)",0.01
"oal_fix",-0.066059126333523,0.012203233634222,0.0123999399939587,6,0,"30-day survival (risk difference)",0.01
"oal_wamd",-0.0783432515665411,0.0214685703047566,0.0230085788289122,70.2,0.0040104620749782,"30-day survival (risk difference)",0.01
"oads_thr",-0.0858304323362332,0.0191917341013858,0.0196887468556946,15.8,0.0012205754141238,"30-day survival (risk difference)",0.01
"oads_bic",-0.0604874033538403,0.012348187727039,0.0127731963380924,12.4,0,"30-day survival (risk difference)",0.01
"trt_bic",-0.0615262941867573,0.0179370209119681,0.0191803582461813,38.2,0.0022667829119442,"30-day survival (risk difference)",0.01
"bch",-0.0636045753006883,0.017058634626358,0.01822420777523,44.4,0.0027898866608544,"30-day survival (risk difference)",0.01
"oal_ipw",-0.0599664831498851,0.0175820013004224,NA,74,0,"30-day survival (risk difference)",0.01
"full",2.71419713428706,1.40278134399787,2.08703452602247,74,0.00313916986396931,"length of stay (days)",0.01
"out_thr",2.66804690005457,1.65607909059213,2.61198938888414,63.4,0.00209277990931287,"length of stay (days)",0.01
"out_bic",1.87171695315102,1.10986854507059,1.32525776915183,73.4,0.00313916986396931,"length of stay (days)",0.01
"oal_fix",3.30672292478405,1.44184567752353,2.21612034393036,38.4,0.00104638995465644,"length of stay (days)",0.01
"oal_wamd",2.66239754331155,1.39424311100817,2.07473288131983,72,0.00313916986396931,"length of stay (days)",0.01
"oads_thr",2.66804690005457,1.65607909059213,2.61198938888414,63.4,0.00209277990931287,"length of stay (days)",0.01
"oads_bic",1.87171695315102,1.10986854507059,1.32525776915183,73.4,0.00313916986396931,"length of stay (days)",0.01
"trt_bic",2.87198394609531,0.951834066705534,1.10286879391761,44.2,0.00226717823508894,"length of stay (days)",0.01
"bch",2.71850698107686,1.40336282361338,2.08791777414908,73.6,0.00331356818974538,"length of stay (days)",0.01
"oal_ipw",2.56121071255397,0.930222628362872,NA,74,0,"length of stay (days)",0.01
