"cell","method","bias","emp_sd","se_ratio","cov95","width_rel_oracle"
"I (n=500,p=20)","oracle",-0.00136078210330826,0.198388029149194,1.02433870342767,0.948,1
"I (n=500,p=20)","oal_ipw",0.120856998853198,0.277856662147451,1.14955727326294,0.944,1.57178225902343
"I (n=500,p=20)","oal_ols",-0.00219133029951313,0.227285416800389,0.982244117053056,0.956,1.0985806929375
"I (n=500,p=20)","oads",4.14289492300934e-05,0.273277501110815,1.0396518496615,0.964,1.39808238206479
"I (n=500,p=20)","bch",-0.00514907500770323,0.309628693535594,1.00723667502772,0.968,1.53466534297864
"I (n=500,p=20)","ry2",-0.00583969908422199,0.408854799488493,1.02705971421662,0.952,2.06635887334213
"I (n=500,p=20)","goal_ipw",0.1006068020483,0.264899458925561,1.14861409779112,0.962,1.49725636593507
"I (n=500,p=20)","ctmle",0.00604242780562925,0.273093772583993,0.717202850692538,0.858,0.963817391658607
"II (n=200,p=50)","oracle",-0.0124154609914682,0.322279029885844,0.998737041441387,0.956,1
"II (n=200,p=50)","oal_ipw",0.187345708964685,0.413488377611368,0.99623696280337,0.9,1.27980190662347
"II (n=200,p=50)","oal_ols",-0.0255778080222931,0.40922395582387,0.883658828969598,0.93,1.12347254861207
"II (n=200,p=50)","oads",0.0776653930028086,0.986096146955347,0.980760505504854,0.95,3.00468553046346
"II (n=200,p=50)","bch",-0.151268588135249,1.17900654631987,0.986031912444,0.964,3.61180240039013
"II (n=200,p=50)","ry2",0.062547531754531,1.84836015645187,1.10227823816407,0.976,6.32986760635754
"II (n=200,p=50)","goal_ipw",0.181615564674071,0.406336772948552,0.988317784606771,0.904,1.24766942518312
"II (n=200,p=50)","ctmle",-0.0308954141454271,0.587368985750472,0.416455137581812,0.606,0.759969267608837
"III (n=2000,p=20)","oracle",-0.0040474449244613,0.103090488629094,1.00557776767718,0.952,1
"III (n=2000,p=20)","oal_ipw",0.0508015645252069,0.141329141605923,1.13641476400215,0.948,1.54929574255005
"III (n=2000,p=20)","oal_ols",-0.000597982156632648,0.110288610003639,1.0107976148342,0.934,1.07537667066231
"III (n=2000,p=20)","oads",0.030055490007195,0.11963100395944,0.970328301268149,0.934,1.11976834160293
"III (n=2000,p=20)","bch",-0.00496617095945573,0.1314171389684,1.00680984052229,0.942,1.27633652812162
"III (n=2000,p=20)","ry2",0.0267044406771215,0.175533573440406,0.984476383626284,0.942,1.66698324782307
"III (n=2000,p=20)","goal_ipw",0.0522948434458308,0.132000010062712,1.12043956539717,0.946,1.42668514618224
"III (n=2000,p=20)","ctmle",0.000908797999650268,0.133068181542349,0.775025608089513,0.862,0.994846355928241
"M (misspec OM)","oracle",-0.0150738709955361,0.203580444737257,1.00322116072692,0.952,1
"M (misspec OM)","oal_ipw",0.112048695003298,0.331328901925411,1.04310287816432,0.926,1.69220791503097
"M (misspec OM)","oal_ols",-0.0495733582372729,0.252010841441129,0.964632861945222,0.94,1.19027835042831
"M (misspec OM)","oads",0.00169024787712613,0.339662989393029,0.938917318951878,0.932,1.56150304217759
"M (misspec OM)","bch",-0.0185097590682474,0.367317208734031,0.937444413785679,0.944,1.68598636498402
"M (misspec OM)","ry2",-0.018206185350783,0.493350854449972,0.955458585628176,0.942,2.30799577336579
"M (misspec OM)","goal_ipw",0.0967870406804583,0.308671809693163,1.07272084946964,0.938,1.62125357588108
"M (misspec OM)","ctmle",-0.0119545249999191,0.306549435170079,0.706177074891531,0.826,1.05994026898174
"P1 (n=500,p=100)","oracle",0.0117214363136053,0.20415607270917,0.983193842835027,0.96,1
"P1 (n=500,p=100)","oal_ipw",0.150207048720137,0.27777541861481,0.98883895992599,0.883333333333333,1.36841531799694
"P1 (n=500,p=100)","oal_ols",0.00912214061637684,0.260480286426884,0.863278703214151,0.91,1.12027445996438
"P1 (n=500,p=100)","oads",0.0210573671298198,0.388474834755688,0.986114575056683,0.97,1.90848528427204
"P1 (n=500,p=100)","bch",-0.007010885577584,0.454824339686471,1.01121290307727,0.956666666666667,2.29131525938452
"P1 (n=500,p=100)","ry2",-0.0218445160212317,0.831117769446512,1.0069222867838,0.966666666666667,4.16924165604545
"P1 (n=500,p=100)","goal_ipw",0.145234292668379,0.263459411639093,0.999834935012554,0.886666666666667,1.31232249111039
"P1 (n=500,p=100)","ctmle",0.023523924783297,0.358168189250597,0.511104346105931,0.713333333333333,0.912000617463506
"P2 (n=500,p=200)","oracle",0.0134206836630983,0.191264100231972,1.04794970210741,0.966666666666667,1
"P2 (n=500,p=200)","oal_ipw",0.245640651764172,0.252019663324948,1.04727033680289,0.83,1.31679851889991
"P2 (n=500,p=200)","oal_ols",0.0346232074506501,0.265673039042721,0.851045234009133,0.92,1.12804448691489
"P2 (n=500,p=200)","oads",-0.0309226974812018,0.526597898460548,0.971970298680454,0.943333333333333,2.55363143205342
"P2 (n=500,p=200)","bch",-0.0889717252678844,0.628950291156207,0.987864075360634,0.956666666666667,3.09984240064632
"P2 (n=500,p=200)","ry2",0.258127179008946,2.63219145869499,0.953203332637363,0.953333333333333,12.5178322498379
"P2 (n=500,p=200)","goal_ipw",0.238801257263502,0.236850472415368,1.06664379640506,0.816666666666667,1.26043300503154
"P2 (n=500,p=200)","ctmle",0.0202765434157424,0.357096510764827,0.353429482704118,0.556666666666667,0.629672144602819
