# sim_battery4.R  run on 2026-09-07 13:29
# n_reps: main cells 500, growing-p cells 300, boundary-sequence cells 500; cores 12; total 84.7 min
# ctmle package available: TRUE
# cell P2 omits the full-set arm (201-parameter logistic refit on 400 training observations is degenerate).
# Boundary-sequence cells run the reduced arm set oracle/full/out_thr/out_bic/oal_fix/oads_thr/oads_bic/bch (+ oracle_ols, ols_oadsthr).
# se_emp = empirical variance of AIPW pseudo-observations (the estimator used for Table 1 of the previous version, sim_battery3.R);
# se_stk = stacked sandwich (B.1) of Lemma A4. Coverage of nominal 95 percent Wald intervals. mcse = Monte Carlo SE.
"design","n","p","arm","mean_size","p_exact_oracle","p_superset_oracle","p_iv_excluded","p_bdry_retained","mean_noise","p_oal_extra","mean_oal_extra","n_reps","cell"
"I (n=500,p=20)",500,20,"oracle",6,1,1,1,1,0,NA,NA,500,"I"
"I (n=500,p=20)",500,20,"full",20,0,1,0,1,12,NA,NA,500,"I"
"I (n=500,p=20)",500,20,"out_thr",6.0388,0.9348,0.986,0.9864,0.9974,0.0392,NA,NA,500,"I"
"I (n=500,p=20)",500,20,"out_bic",13.9792,0.002,1,0.2028,1,6.8288,NA,NA,500,"I"
"I (n=500,p=20)",500,20,"oal_fix",4.3724,0.026,0.0263999999999999,0.972,0.9954,0,NA,NA,500,"I"
"I (n=500,p=20)",500,20,"oal_wamd",12.1596,0.0284,0.9396,0.1268,1,4.8276,NA,NA,500,"I"
"I (n=500,p=20)",500,20,"oads_thr",6.0548,0.922,0.9872,0.9716,0.998,0.0392,0.016,0.016,500,"I"
"I (n=500,p=20)",500,20,"oads_bic",13.9792,0.002,1,0.2028,1,6.8288,0,0,500,"I"
"I (n=500,p=20)",500,20,"trt_bic",8.6704,0,0.0464,0,1,2.288,NA,NA,500,"I"
"I (n=500,p=20)",500,20,"bch",15.864,0,1,0,1,7.864,NA,NA,500,"I"
"I (n=500,p=20)",500,20,"oracle_ols",6,NA,NA,NA,NA,NA,NA,NA,500,"I"
"I (n=500,p=20)",500,20,"ols_oadsthr",6.05,NA,NA,NA,NA,NA,NA,NA,500,"I"
"I (n=500,p=20)",500,20,"oal_ipw",12.048,NA,NA,NA,NA,NA,NA,NA,500,"I"
"I (n=500,p=20)",500,20,"goal_ipw",15.686,NA,NA,NA,NA,NA,NA,NA,500,"I"
"I (n=500,p=20)",500,20,"ry2",16.368,NA,NA,NA,NA,NA,NA,NA,500,"I"
"I (n=500,p=20)",500,20,"ctmle",NA,NA,NA,NA,NA,NA,NA,NA,500,"I"
"II (n=200,p=50)",200,50,"oracle",6,1,1,1,1,0,NA,NA,500,"II"
"II (n=200,p=50)",200,50,"full",50,0,1,0,1,42,NA,NA,500,"II"
