"regime","method","bias","emp_sd","se_ratio","cov95","width_rel_oracle"
"I: benign (n=500,p=20)","oracle",0.00696083369008083,0.205354570982679,0.989402001533896,0.958,1
"I: benign (n=500,p=20)","oal_ipw",0.118095492428463,0.282739222603135,1.12874337080095,0.96,1.57073931248965
"I: benign (n=500,p=20)","oal_ols",0.00307194344155715,0.236004785162423,0.941533870781754,0.938,1.0936531238915
"I: benign (n=500,p=20)","oads",-0.00898815061270275,0.279600262153541,1.01047183827948,0.952,1.39054366131946
"I: benign (n=500,p=20)","bch",-0.00249868759417626,0.315246800658781,0.9871592647788,0.95,1.53165430092893
"I: benign (n=500,p=20)","ry_oads",-0.00559470250611882,0.360793869357775,0.908527270185814,0.918,1.61331792104992
"I: benign (n=500,p=20)","oads_widened_B1sd",-0.00898815061270275,0.279600262153541,NA,0.998,2.10000471301306
"I: benign (n=500,p=20)","oads_widened_B2sd",-0.00898815061270275,0.279600262153541,NA,0.998,2.80946576470666
"II: many controls (n=200,p=50)","oracle",-0.00215102210061402,0.32218992549642,1.00076922460812,0.954,1
"II: many controls (n=200,p=50)","oal_ipw",0.213560787858643,0.397095346954831,1.03562820906279,0.898,1.27541867475696
"II: many controls (n=200,p=50)","oal_ols",-0.00353749634747258,0.401493916363775,0.905623718312638,0.896,1.12766696821459
"II: many controls (n=200,p=50)","oads",-0.0331780748417826,1.09350595867863,0.89895047885722,0.944,3.04867425994814
"II: many controls (n=200,p=50)","bch",-0.121230001652014,1.18322687771859,0.997293162499148,0.952,3.6596956504829
"II: many controls (n=200,p=50)","ry_oads",0.0435605524605818,0.584683551843536,0.739995920162315,0.838,1.34185103003996
"II: many controls (n=200,p=50)","oads_widened_B1sd",-0.0331780748417826,1.09350595867863,NA,0.996,4.60412031094209
"II: many controls (n=200,p=50)","oads_widened_B2sd",-0.0331780748417826,1.09350595867863,NA,1,6.15956636193604
"III: local boundary (n=2000,p=20)","oracle",-0.0130619038110018,0.105922729665744,0.97881581342314,0.944,1
"III: local boundary (n=2000,p=20)","oal_ipw",0.0353888018523656,0.162235899506154,1.01445376459068,0.936,1.58740987615755
"III: local boundary (n=2000,p=20)","oal_ols",-0.0135419990293631,0.120201692860794,0.930414526563437,0.91,1.07869067726129
"III: local boundary (n=2000,p=20)","oads",0.0207971832673264,0.133233211059456,0.875229149172686,0.91,1.12471924657337
"III: local boundary (n=2000,p=20)","bch",-0.0170791140627577,0.146643078656397,0.905108937465148,0.906,1.28018366648049
"III: local boundary (n=2000,p=20)","ry_oads",0.00954145684639074,0.185643483214647,0.896227268292335,0.914,1.60475124285731
"III: local boundary (n=2000,p=20)","oads_widened_B1sd",0.0207971832673264,0.133233211059456,NA,0.988,1.69855559686591
"III: local boundary (n=2000,p=20)","oads_widened_B2sd",0.0207971832673264,0.133233211059456,NA,1,2.27239194715845
