"table","design","a0","a1","a2","b1","b2","c_nl","bias","identity_check","a2b2","bias_over_a2b2","stein_T1","stein_c","a2b2_c","T2","holder_bound","bias_over_holder","max_e_minus_estar"
"bias","gauss",0.5,1,1,1,0.3,0,0.253269748357682,-1.11022302462516e-16,0.3,0.844232494525607,0.252904439544895,0.843014798482982,0.252904439544895,-0.000365308812787219,0.779052689461852,0.325099639323027,0.999074730366943
"bias","gauss",0,1,2,1,0.3,0,0.36934879611368,0,0.6,0.615581326856134,0.369230802774184,0.615384671290306,0.369230802774183,-0.00011799333949684,0.769930410450484,0.479717116119073,0.999967161776471
"bias","gauss",0.5,1,0.5,1,0.3,0,0.143043247943066,-5.55111512312578e-17,0.15,0.953621652953774,0.142914954737228,0.952766364914851,0.142914954737228,-0.000128293205838301,0.579209165640139,0.2469630254987,0.967337992879819
"bias","gauss",1,1.5,1.5,1,0.3,0,0.335706326450011,-5.55111512312578e-17,0.45,0.746014058777803,0.332773793571049,0.739497319046774,0.332773793571048,-0.00293253287896264,3.08576336969242,0.108791986367857,0.999953593235621
"bias","ar1",0.5,1,1,1,0.3,0,0.199949356880563,5.55111512312578e-17,0.3,0.666497856268542,0.200754577760064,0.883282593196461,0.264984777958938,0.000805220879501757,3.96798983384467,0.050390592025995,0.997798909005666
"bias","ar1",0,1,2,1,0.3,0,0.314360019402886,0,0.6,0.523933365671476,0.314991307906774,0.690838340424902,0.414503004254941,0.000631288503888311,8.231772330651,0.0381886192639666,0.99998554169515
"bias","ar1",0.5,1,0.5,1,0.3,0,0.108788713285312,5.55111512312578e-17,0.15,0.72525808856875,0.109143728636879,0.965508929117885,0.144826339367683,0.000355015351566234,1.1955301019988,0.09099621423453,0.945398425860993
"bias","ar1",1,1.5,1.5,1,0.3,0,0.275746039846241,0,0.45,0.612768977436092,0.275547885672768,0.792336924494604,0.356551616022572,-0.000198154173473084,104.726877071149,0.00263300164731262,0.999866736877817
"bias","rademacher",0.5,1,1,1,0.3,0,0.266300881572245,5.55111512312578e-17,0.3,0.887669605240816,0.266300881572245,0.834458486453547,0.250337545936064,-3.81639164714898e-17,0.418055970634107,0.63699815402306,0.220016903697749
"bias","rademacher",0,1,2,1,0.3,0,0.431345368734822,1.11022302462516e-16,0.6,0.718908947891369,0.431345368734822,0.508530330979057,0.305118198587434,-6.93889390390723e-18,0.674099365017438,0.63988395646043,0.341816352726219
"bias","rademacher",0.5,1,0.5,1,0.3,0,0.145028821174485,1.11022302462516e-16,0.15,0.966858807829899,0.145028821174485,0.953881291096602,0.14308219366449,-5.03069808033274e-17,0.210933056249758,0.687558525690547,0.115529289315003
"bias","rademacher",1,1.5,1.5,1,0.3,0,0.340935206601452,-1.11022302462516e-16,0.45,0.757633792447672,0.340935206601452,0.74445906060667,0.335006577273002,-7.97972798949331e-17,0.779987882012392,0.437103209503498,0.305927828303944
"bias","unif",0.5,1,1,1,0.3,0,0.261227311540582,1.11022302462516e-16,0.3,0.870757705135274,0.261003589882152,0.836415232258318,0.250924569677495,-0.00022372165843043,0.492460553119673,0.530453271608744,0.378493010758234
"bias","unif",0,1,2,1,0.3,0,0.398779628779169,5.55111512312578e-17,0.6,0.664632714631948,0.398746736517651,0.566239834423346,0.339743900654008,-3.28922615178854e-05,0.689323913522071,0.578508333972662,0.574519280000539
"bias","unif",0.5,1,0.5,1,0.3,0,0.144334228690617,-8.32667268468867e-17,0.15,0.962228191270781,0.14426639956491,0.953054594208919,0.142958189131338,-6.78291257065031e-05,0.274754566510365,0.525320581651451,0.20869462471516
"bias","unif",1,1.5,1.5,1,0.3,0,0.341307825728436,5.55111512312578e-17,0.45,0.75846183495208,0.338418872088736,0.733817146101213,0.330217715745546,-0.0028889536396998,1.00130283331758,0.340863737094992,0.50481331769543
"bias","nonlin",0.5,1,1,1,0.3,0.6,0.258711883411735,5.55111512312578e-17,0.3,0.862372944705784,0.252904439544895,0.843014798482982,0.252904439544895,-0.00580744386684059,3.37897722651422,0.0765651456250342,0.999074730366943
"bias","nonlin",0,1,2,1,0.3,0.6,0.373982551448537,-5.55111512312578e-17,0.6,0.623304252414228,0.369230802774184,0.615384671290306,0.369230802774183,-0.00475174867435332,3.18015506914138,0.117598841351315,0.999967161776471
"bias","nonlin",0.5,1,0.5,1,0.3,0.6,0.145495627716945,2.22044604925031e-16,0.15,0.9699708514463,0.142914954737228,0.952766364914851,0.142914954737228,-0.00258067297971749,2.64004113931555,0.0551111213951256,0.967337992879819
"bias","nonlin",1,1.5,1.5,1,0.3,0.6,0.346921049452029,-5.55111512312578e-17,0.45,0.770935665448954,0.332773793571049,0.739497319046774,0.332773793571048,-0.0141472558809807,12.1015921645959,0.0286673889463052,0.999953593235621
"bias","nonlin",0.5,1,1,1,0,0.6,0.00544213505405322,1.48318857196017e-16,0,NA,0,0.843014798482982,0,-0.00544213505405337,3.30206972949242,0.00164809816263019,0.999074730366943
"bias","nonlin",0,1,2,1,0,0.6,0.00463375533485655,-6.59194920871187e-17,0,NA,0,0.615384671290306,0,-0.00463375533485648,3.09758040476564,0.00149592737858475,0.999967161776471
"bias","nonlin",0.5,1,0.5,1,0,0.6,0.00245237977387913,5.11743425413158e-17,0,NA,0,0.952766364914851,0,-0.00245237977387918,2.59888622214335,0.000943627217299496,0.967337992879819
"bias","nonlin",1,1.5,1.5,1,0,0.6,0.0112147230020181,-2.94902990916057e-17,0,NA,0,0.739497319046774,0,-0.0112147230020181,11.6904704796538,0.000959304676534305,0.999953593235621
