"design","a0","a1","a2","b1","het","Veff_S","Veff_SI","ratio_SI_over_S","Var_psi_naive","Var_phi_corrected","r_mis","r_mis_pct","sd_ratio_naive_over_corrected","D_b1","max_eS_minus_estar"
"gauss",0.5,1,1,1,0,5.12670345094604,8.13041034103819,1.58589440930855,5.07582275760612,5.09275744445747,-0.0339460064885708,-0.662141019338786,0.998335991012312,"-0.000193;0.000313",0.0056992443478846
"gauss",0,1,2,1,0,4.41923445912663,26.3649879214069,5.96596269450194,4.41132794508695,4.4141102482466,-0.00512421088003112,-0.115952455734693,0.999684790186821,"0.000127;-0.000685",0.0121777646789377
"gauss",0.5,1,0.5,1,0,5.52458941762529,6.21336530198486,1.12467458344726,5.48806301564877,5.49923453030531,-0.0253548873199865,-0.458946093606447,0.998983750010422,"-8.88e-05;9.81e-05",0.00185919486442276
"gauss",1,1.5,1.5,1,0,6.99799040660447,31.2806828746549,4.46995223730705,6.43037061582856,6.55971102662056,-0.438279379983905,-6.26293199216552,0.99009222065282,"-0.000779;0.0013",0.00718679935982991
"ar1",0.5,1,1,1,0,7.4943050260408,12.1073379273897,1.61553845023919,7.01254692137291,7.08959387579802,-0.404711150242775,-5.40024924040998,0.99455135018196,"0.000354;-0.00198",0.00368429194629345
"ar1",0,1,2,1,0,7.76284611929575,68.2309039173846,8.78941858035627,6.66832634087576,6.78975752062414,-0.97308859867161,-12.5352040181867,0.991017424239085,"0.00455;-0.0137",0.00780394760543217
"rademacher",0.5,1,1,1,0,4.93129591418373,7.36997551265985,1.49453118225208,4.93129591418373,4.93129591418373,0,0,1,"-1.11e-16;5.55e-17",5.55111512312578e-17
"rademacher",0,1,2,1,0,4.20640465067033,13.610742630593,3.23571880523287,4.20640465067033,4.20640465067033,0,0,1,"5.55e-17;1.11e-16",1.11022302462516e-16
"unif",0.5,1,1,1,0,5.00896648216273,7.63419189664389,1.52410520689842,4.98777810223587,4.99941603224741,-0.00955044991532272,-0.190667075719762,0.998835392904609,"-0.000363;0.00094",0.00478028615622994
"unif",0,1,2,1,0,4.32499913488302,16.562708825683,3.82952881819039,4.32343840803268,4.32414814169998,-0.000850993183036941,-0.0196761468961533,0.999917930333439,"3.32e-05;-0.000185",0.00343721177443401
"hetero",0.5,1,1,1,0.5,6.00233199780277,10.3890560989307,1.73083663195133,5.82486942625421,5.85587202254419,-0.146459975258575,-2.44005122196155,0.997349349574161,"-0.000193;0.000313",0.0056992443478846
"hetero",0,1,2,1,0.5,4.54037596045503,29.4745930221183,6.49166352716845,4.52016152938078,4.5229342277457,-0.0174417327093277,-0.384147323068368,0.999693437568068,"0.000127;-0.000685",0.0121777646789377
"hetero",0,1,2,1,1,4.92134569022566,39.5971410290303,8.04599870065513,4.85178189419628,4.85451813422514,-0.0668275560005185,-1.35791225016453,0.999718136215477,"0.000127;-0.000685",0.0121777646789377
