# convergence_check.R  run on 2026-09-16 11:09; replications per cell: main 25, boundary 10; cores 12; 0.7 min
# fits = propensity/outcome refits examined (folds x replications); ps_nonconv = logistic refit at glm.fit's iteration limit;
# ps_boundary = fitted probabilities numerically at 0/1; *_rankdef_fits = refits with aliased coefficients (set to zero);
# ginv_fits = refits in which a sandwich block was solved with a generalized inverse; trim_frac = share of test-fold
# propensities clipped; max_dpsi_maxit / max_dcorr_maxit = largest change in a pseudo-observation / correction term when
# a non-converged propensity refit is repeated with maxit = 200 (NA when no refit was non-converged);
# max_d_est_maxit / max_d_se_stk_maxit / cov_flips_maxit = largest change in a replication's arm estimate / stacked SE,
# and number of replications whose 95 percent stacked-interval coverage indicator changes, under the maxit = 200 refits. 

        cell      arm reps fits mean_dim ps_nonconv ps_boundary ps_rankdef_fits
           I   oracle   25  125     7.00          0           0               0
           I     full   25  125    21.00          0           0               0
           I  out_thr   25  125     7.09          0           0               0
           I  out_bic   25  125    15.28          0           0               0
           I  oal_fix   25  125     5.42          0           0               0
           I oal_wamd   25  125    12.34          0           0               0
           I oads_thr   25  125     7.10          0           0               0
           I oads_bic   25  125    15.28          0           0               0
           I  trt_bic   25  125     9.78          0           0               0
           I      bch   25  125    17.18          0           0               0
          II   oracle   25  125     7.00          0           0               0
          II     full   25  125    51.00         42           0               0
          II  out_thr   25  125     6.22          0           0               0
          II  out_bic   25  125    25.77          0           0               0
          II  oal_fix   25  125     3.17          0           0               0
          II oal_wamd   25  125    23.89          0           0               0
          II oads_thr   25  125     6.27          0           0               0
          II oads_bic   25  125    25.78          0           0               0
          II  trt_bic   25  125     8.18          0           0               0
          II      bch   25  125    28.55          0           0               0
         III   oracle   25  125     7.00          0           0               0
         III     full   25  125    21.00          0           0               0
         III  out_thr   25  125     5.02          0           0               0
         III  out_bic   25  125    11.85          0           0               0
         III  oal_fix   25  125     3.62          0           0               0
         III oal_wamd   25  125    13.26          0           0               0
         III oads_thr   25  125     5.06          0           0               0
         III oads_bic   25  125    11.85          0           0               0
         III  trt_bic   25  125     9.46          0           0               0
         III      bch   25  125    15.13          0           0               0
           M   oracle   25  125     7.00          0           0               0
           M     full   25  125    21.00          0           0               0
           M  out_thr   25  125     7.15          0           0               0
           M  out_bic   25  125    15.17          0           0               0
           M  oal_fix   25  125     5.33          0           0               0
           M oal_wamd   25  125    13.25          0           0               0
           M oads_thr   25  125     7.18          0           0               0
           M oads_bic   25  125    15.17          0           0               0
           M  trt_bic   25  125     9.25          0           0               0
           M      bch   25  125    16.92          0           0               0
          P1   oracle   25  125     7.00          0           0               0
          P1     full   25  125   101.00          0           0               0
          P1  out_thr   25  125     6.73          0           0               0
          P1  out_bic   25  125    37.92          0           0               0
          P1  oal_fix   25  125     4.07          0           0               0
          P1 oal_wamd   25  125    34.95          0           0               0
          P1 oads_thr   25  125     6.78          0           0               0
          P1 oads_bic   25  125    37.93          0           0               0
          P1  trt_bic   25  125     9.31          0           0               0
          P1      bch   25  125    40.98          0           0               0
          P2   oracle   25  125     7.00          0           0               0
          P2  out_thr   25  125     8.42          0           0               0
          P2  out_bic   25  125    53.99          0           0               0
          P2  oal_fix   25  125     3.73          0           0               0
          P2 oal_wamd   25  125    61.98         12           0               0
          P2 oads_thr   25  125     8.47          0           0               0
          P2 oads_bic   25  125    54.01          0           0               0
          P2  trt_bic   25  125     9.71          0           0               0
          P2      bch   25  125    58.01          0           0               0
           C   oracle   25  125     7.00          0           0               0
           C     full   25  125    21.00          0           0               0
           C  out_thr   25  125     7.22          0           0               0
           C  out_bic   25  125    13.26          0           0               0
           C  oal_fix   25  125     6.09          0           0               0
           C oal_wamd   25  125    15.02          0           0               0
           C oads_thr   25  125     7.26          0           0               0
           C oads_bic   25  125    13.27          0           0               0
           C  trt_bic   25  125     9.02          0           0               0
           C      bch   25  125    15.30          0           0               0
          Bd   oracle   25  125     7.00          0           0               0
          Bd     full   25  125    21.00          0           0               0
          Bd  out_thr   25  125     7.03          0           0               0
          Bd  out_bic   25  125    15.46          0           0               0
          Bd  oal_fix   25  125     5.29          0           0               0
          Bd oal_wamd   25  125    15.05          0           0               0
          Bd oads_thr   25  125     7.04          0           0               0
          Bd oads_bic   25  125    15.46          0           0               0
          Bd  trt_bic   25  125     8.48          0           0               0
          Bd      bch   25  125    16.90          0           0               0
           H   oracle   25  125     7.00          0           0               0
           H     full   25  125    21.00          0           0               0
           H  out_thr   25  125     7.02          0           0               0
           H  out_bic   25  125    15.09          0           0               0
           H  oal_fix   25  125     5.26          0           0               0
           H oal_wamd   25  125    13.10          0           0               0
           H oads_thr   25  125     7.04          0           0               0
           H oads_bic   25  125    15.09          0           0               0
           H  trt_bic   25  125     9.76          0           0               0
           H      bch   25  125    16.88          0           0               0
         IV6   oracle   25  125     7.00          0           0               0
         IV6     full   25  125    21.00          0           0               0
         IV6  out_thr   25  125     7.03          0           0               0
         IV6  out_bic   25  125    14.74          0           0               0
         IV6  oal_fix   25  125     5.25          0           0               0
         IV6 oal_wamd   25  125    13.26          0           0               0
         IV6 oads_thr   25  125     7.03          0           0               0
         IV6 oads_bic   25  125    14.74          0           0               0
         IV6  trt_bic   25  125    15.01          0           0               0
         IV6      bch   25  125    18.95          0           0               0
  B500_k1.50   oracle   10   50     7.00          0           0               0
  B500_k1.50     full   10   50    21.00          0           0               0
  B500_k1.50  out_thr   10   50     7.06          0           0               0
  B500_k1.50  out_bic   10   50    14.02          0           0               0
  B500_k1.50  oal_fix   10   50     5.22          0           0               0
  B500_k1.50 oads_thr   10   50     7.06          0           0               0
