"arm","seed","fold","pilot","ps_nonconv","ps_boundary","ps_rankdef","out_rankdef","ginv","ntrim","d","dpsi_maxit","dcorr_maxit","est_check","d_est","d_se_emp","d_se_stk","cov_flip","cell","design","n","p"
"oracle",801001,1,"ols",0,0,0,0,0,1,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oracle",801001,5,"ols",0,0,0,0,0,2,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oracle",801001,2,"ols",0,0,0,0,0,2,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oracle",801001,3,"ols",0,0,0,0,0,3,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oracle",801001,4,"ols",0,0,0,0,0,0,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"full",801001,4,"ols",0,0,0,0,0,17,21,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"full",801001,5,"ols",0,0,0,0,0,24,21,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"full",801001,2,"ols",0,0,0,0,0,24,21,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"full",801001,3,"ols",0,0,0,0,0,27,21,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"full",801001,1,"ols",0,0,0,0,0,28,21,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"out_thr",801001,3,"ols",0,0,0,0,0,3,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"out_thr",801001,5,"ols",0,0,0,0,0,2,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"out_thr",801001,2,"ols",0,0,0,0,0,2,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"out_thr",801001,4,"ols",0,0,0,0,0,0,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"out_thr",801001,1,"ols",0,0,0,0,0,1,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"out_bic",801001,2,"ols",0,0,0,0,0,3,14,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"out_bic",801001,1,"ols",0,0,0,0,0,1,14,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"out_bic",801001,5,"ols",0,0,0,0,0,16,17,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"out_bic",801001,3,"ols",0,0,0,0,0,27,17,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"out_bic",801001,4,"ols",0,0,0,0,0,8,20,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oal_fix",801001,5,"ols",0,0,0,0,0,2,5,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oal_fix",801001,4,"ols",0,0,0,0,0,0,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oal_fix",801001,1,"ols",0,0,0,0,0,1,5,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oal_fix",801001,2,"ols",0,0,0,0,0,2,6,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oal_fix",801001,3,"ols",0,0,0,0,0,3,5,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oal_wamd",801001,3,"ols",0,0,0,0,0,26,10,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oal_wamd",801001,4,"ols",0,0,0,0,0,0,10,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oal_wamd",801001,5,"ols",0,0,0,0,0,15,9,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oal_wamd",801001,2,"ols",0,0,0,0,0,6,12,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oal_wamd",801001,1,"ols",0,0,0,0,0,1,8,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oads_thr",801001,2,"ols",0,0,0,0,0,2,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oads_thr",801001,3,"ols",0,0,0,0,0,3,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oads_thr",801001,1,"ols",0,0,0,0,0,1,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oads_thr",801001,5,"ols",0,0,0,0,0,2,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oads_thr",801001,4,"ols",0,0,0,0,0,0,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oads_bic",801001,5,"ols",0,0,0,0,0,16,17,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oads_bic",801001,2,"ols",0,0,0,0,0,3,14,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oads_bic",801001,4,"ols",0,0,0,0,0,8,20,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oads_bic",801001,1,"ols",0,0,0,0,0,1,14,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oads_bic",801001,3,"ols",0,0,0,0,0,27,17,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"trt_bic",801001,5,"ols",0,0,0,0,0,23,8,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"trt_bic",801001,3,"ols",0,0,0,0,0,26,10,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"trt_bic",801001,4,"ols",0,0,0,0,0,11,8,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"trt_bic",801001,1,"ols",0,0,0,0,0,19,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"trt_bic",801001,2,"ols",0,0,0,0,0,19,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"bch",801001,2,"ols",0,0,0,0,0,23,16,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"bch",801001,3,"ols",0,0,0,0,0,27,17,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"bch",801001,4,"ols",0,0,0,0,0,17,21,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"bch",801001,1,"ols",0,0,0,0,0,25,16,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"bch",801001,5,"ols",0,0,0,0,0,23,18,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oracle",801002,1,"ols",0,0,0,0,0,5,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oracle",801002,5,"ols",0,0,0,0,0,2,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oracle",801002,2,"ols",0,0,0,0,0,0,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oracle",801002,3,"ols",0,0,0,0,0,6,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oracle",801002,4,"ols",0,0,0,0,0,6,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"full",801002,4,"ols",0,0,0,0,0,24,21,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"full",801002,5,"ols",0,0,0,0,0,21,21,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"full",801002,2,"ols",0,0,0,0,0,22,21,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"full",801002,3,"ols",0,0,0,0,0,29,21,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"full",801002,1,"ols",0,0,0,0,0,28,21,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"out_thr",801002,3,"ols",0,0,0,0,0,6,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"out_thr",801002,5,"ols",0,0,0,0,0,2,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"out_thr",801002,2,"ols",0,0,0,0,0,0,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"out_thr",801002,4,"ols",0,0,0,0,0,6,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"out_thr",801002,1,"ols",0,0,0,0,0,5,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"out_bic",801002,2,"ols",0,0,0,0,0,7,10,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"out_bic",801002,1,"ols",0,0,0,0,0,13,14,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"out_bic",801002,5,"ols",0,0,0,0,0,18,16,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"out_bic",801002,3,"ols",0,0,0,0,0,15,12,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"out_bic",801002,4,"ols",0,0,0,0,0,13,11,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oal_fix",801002,5,"ols",0,0,0,0,0,2,6,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oal_fix",801002,4,"ols",0,0,0,0,0,4,6,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oal_fix",801002,1,"ols",0,0,0,0,0,5,5,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oal_fix",801002,2,"ols",0,0,0,0,0,0,5,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oal_fix",801002,3,"ols",0,0,0,0,0,6,5,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oal_wamd",801002,3,"ols",0,0,0,0,0,25,11,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oal_wamd",801002,4,"ols",0,0,0,0,0,13,9,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oal_wamd",801002,5,"ols",0,0,0,0,0,15,10,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oal_wamd",801002,2,"ols",0,0,0,0,0,8,8,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oal_wamd",801002,1,"ols",0,0,0,0,0,11,8,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oads_thr",801002,2,"ols",0,0,0,0,0,0,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oads_thr",801002,3,"ols",0,0,0,0,0,6,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oads_thr",801002,1,"ols",0,0,0,0,0,5,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oads_thr",801002,5,"ols",0,0,0,0,0,2,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oads_thr",801002,4,"ols",0,0,0,0,0,6,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oads_bic",801002,5,"ols",0,0,0,0,0,18,16,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oads_bic",801002,2,"ols",0,0,0,0,0,7,10,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oads_bic",801002,4,"ols",0,0,0,0,0,13,11,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oads_bic",801002,1,"ols",0,0,0,0,0,13,14,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oads_bic",801002,3,"ols",0,0,0,0,0,15,12,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"trt_bic",801002,5,"ols",0,0,0,0,0,17,8,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"trt_bic",801002,3,"ols",0,0,0,0,0,23,9,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"trt_bic",801002,4,"ols",0,0,0,0,0,22,10,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"trt_bic",801002,1,"ols",0,0,0,0,0,28,12,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"trt_bic",801002,2,"ols",0,0,0,0,0,19,11,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"bch",801002,2,"ols",0,0,0,0,0,19,14,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"bch",801002,3,"ols",0,0,0,0,0,26,15,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"bch",801002,4,"ols",0,0,0,0,0,23,13,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"bch",801002,1,"ols",0,0,0,0,0,27,18,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"bch",801002,5,"ols",0,0,0,0,0,19,17,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oracle",801003,1,"ols",0,0,0,0,0,2,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oracle",801003,5,"ols",0,0,0,0,0,2,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oracle",801003,2,"ols",0,0,0,0,0,3,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oracle",801003,3,"ols",0,0,0,0,0,1,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oracle",801003,4,"ols",0,0,0,0,0,2,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"full",801003,4,"ols",0,0,0,0,0,27,21,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"full",801003,5,"ols",0,0,0,0,0,17,21,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"full",801003,2,"ols",0,0,0,0,0,28,21,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"full",801003,3,"ols",0,0,0,0,0,24,21,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"full",801003,1,"ols",0,0,0,0,0,26,21,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"out_thr",801003,3,"ols",0,0,0,0,0,1,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"out_thr",801003,5,"ols",0,0,0,0,0,2,8,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"out_thr",801003,2,"ols",0,0,0,0,0,3,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"out_thr",801003,4,"ols",0,0,0,0,0,2,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"out_thr",801003,1,"ols",0,0,0,0,0,2,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"out_bic",801003,2,"ols",0,0,0,0,0,26,17,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"out_bic",801003,1,"ols",0,0,0,0,0,22,15,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"out_bic",801003,5,"ols",0,0,0,0,0,17,17,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"out_bic",801003,3,"ols",0,0,0,0,0,2,14,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"out_bic",801003,4,"ols",0,0,0,0,0,23,14,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oal_fix",801003,5,"ols",0,0,0,0,0,2,6,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oal_fix",801003,4,"ols",0,0,0,0,0,2,5,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oal_fix",801003,1,"ols",0,0,0,0,0,2,5,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oal_fix",801003,2,"ols",0,0,0,0,0,3,5,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oal_fix",801003,3,"ols",0,0,0,0,0,1,5,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oal_wamd",801003,3,"ols",0,0,0,0,0,11,14,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oal_wamd",801003,4,"ols",0,0,0,0,0,24,11,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oal_wamd",801003,5,"ols",0,0,0,0,0,17,10,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oal_wamd",801003,2,"ols",0,0,0,0,0,27,8,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oal_wamd",801003,1,"ols",0,0,0,0,0,20,10,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oads_thr",801003,2,"ols",0,0,0,0,0,3,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oads_thr",801003,3,"ols",0,0,0,0,0,1,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oads_thr",801003,1,"ols",0,0,0,0,0,2,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oads_thr",801003,5,"ols",0,0,0,0,0,2,8,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oads_thr",801003,4,"ols",0,0,0,0,0,2,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oads_bic",801003,5,"ols",0,0,0,0,0,17,17,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oads_bic",801003,2,"ols",0,0,0,0,0,26,17,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oads_bic",801003,4,"ols",0,0,0,0,0,23,14,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oads_bic",801003,1,"ols",0,0,0,0,0,22,15,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oads_bic",801003,3,"ols",0,0,0,0,0,2,14,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"trt_bic",801003,5,"ols",0,0,0,0,0,16,10,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"trt_bic",801003,3,"ols",0,0,0,0,0,22,11,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"trt_bic",801003,4,"ols",0,0,0,0,0,23,10,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"trt_bic",801003,1,"ols",0,0,0,0,0,23,11,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"trt_bic",801003,2,"ols",0,0,0,0,0,26,10,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"bch",801003,2,"ols",0,0,0,0,0,29,18,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"bch",801003,3,"ols",0,0,0,0,0,22,17,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"bch",801003,4,"ols",0,0,0,0,0,28,16,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"bch",801003,1,"ols",0,0,0,0,0,25,17,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"bch",801003,5,"ols",0,0,0,0,0,17,19,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oracle",801004,1,"ols",0,0,0,0,0,1,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oracle",801004,5,"ols",0,0,0,0,0,3,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oracle",801004,2,"ols",0,0,0,0,0,1,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oracle",801004,3,"ols",0,0,0,0,0,5,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oracle",801004,4,"ols",0,0,0,0,0,5,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"full",801004,4,"ols",0,0,0,0,0,25,21,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"full",801004,5,"ols",0,0,0,0,0,24,21,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"full",801004,2,"ols",0,0,0,0,0,20,21,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"full",801004,3,"ols",0,0,0,0,0,19,21,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"full",801004,1,"ols",0,0,0,0,0,10,21,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"out_thr",801004,3,"ols",0,0,0,0,0,5,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"out_thr",801004,5,"ols",0,0,0,0,0,3,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"out_thr",801004,2,"ols",0,0,0,0,0,1,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"out_thr",801004,4,"ols",0,0,0,0,0,5,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"out_thr",801004,1,"ols",0,0,0,0,0,1,8,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"out_bic",801004,2,"ols",0,0,0,0,0,11,17,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"out_bic",801004,1,"ols",0,0,0,0,0,9,17,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"out_bic",801004,5,"ols",0,0,0,0,0,16,17,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"out_bic",801004,3,"ols",0,0,0,0,0,17,18,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"out_bic",801004,4,"ols",0,0,0,0,0,27,20,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oal_fix",801004,5,"ols",0,0,0,0,0,3,5,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oal_fix",801004,4,"ols",0,0,0,0,0,3,5,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oal_fix",801004,1,"ols",0,0,0,0,0,1,5,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oal_fix",801004,2,"ols",0,0,0,0,0,1,5,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oal_fix",801004,3,"ols",0,0,0,0,0,5,5,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oal_wamd",801004,3,"ols",0,0,0,0,0,8,8,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oal_wamd",801004,4,"ols",0,0,0,0,0,4,8,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oal_wamd",801004,5,"ols",0,0,0,0,0,17,8,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oal_wamd",801004,2,"ols",0,0,0,0,0,1,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oal_wamd",801004,1,"ols",0,0,0,0,0,8,9,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oads_thr",801004,2,"ols",0,0,0,0,0,1,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oads_thr",801004,3,"ols",0,0,0,0,0,5,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oads_thr",801004,1,"ols",0,0,0,0,0,1,8,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oads_thr",801004,5,"ols",0,0,0,0,0,3,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oads_thr",801004,4,"ols",0,0,0,0,0,5,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oads_bic",801004,5,"ols",0,0,0,0,0,16,17,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oads_bic",801004,2,"ols",0,0,0,0,0,11,17,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oads_bic",801004,4,"ols",0,0,0,0,0,27,20,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oads_bic",801004,1,"ols",0,0,0,0,0,9,17,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oads_bic",801004,3,"ols",0,0,0,0,0,17,18,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"trt_bic",801004,5,"ols",0,0,0,0,0,25,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"trt_bic",801004,3,"ols",0,0,0,0,0,17,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"trt_bic",801004,4,"ols",0,0,0,0,0,29,10,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"trt_bic",801004,1,"ols",0,0,0,0,0,8,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"trt_bic",801004,2,"ols",0,0,0,0,0,20,9,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"bch",801004,2,"ols",0,0,0,0,0,20,19,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"bch",801004,3,"ols",0,0,0,0,0,17,18,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"bch",801004,4,"ols",0,0,0,0,0,27,20,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"bch",801004,1,"ols",0,0,0,0,0,9,17,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"bch",801004,5,"ols",0,0,0,0,0,25,18,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oracle",801005,1,"ols",0,0,0,0,0,4,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oracle",801005,5,"ols",0,0,0,0,0,2,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oracle",801005,2,"ols",0,0,0,0,0,4,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oracle",801005,3,"ols",0,0,0,0,0,2,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"oracle",801005,4,"ols",0,0,0,0,0,8,7,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"full",801005,4,"ols",0,0,0,0,0,21,21,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"full",801005,5,"ols",0,0,0,0,0,16,21,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
"full",801005,2,"ols",0,0,0,0,0,33,21,NA,NA,0,0,0,0,0,"I","I (n=500,p=20)",500,20
