"regime","tune","method","bias","emp_sd","se_ratio","coverage95","z3_rate","z4_rate"
"I: benign (n=500, p=20)","wamd","oracle",0.00684339669240175,0.204090364931996,0.996668713145518,0.942,1,1
"I: benign (n=500, p=20)","wamd","full",0.00913464261896646,0.235546982829436,0.989822946864189,0.94,1,1
"I: benign (n=500, p=20)","wamd","oal_ipw",0.136362946480314,0.291616852770009,1.11084200890189,0.922,1,1
"I: benign (n=500, p=20)","wamd","oal_ols",0.00857520401334066,0.234592991112318,0.949805042111904,0.93,1,1
"II: many controls (n=200, p=50)","bic","oracle",0.0193078426785194,0.322815445393338,0.993334866882845,0.948,0.494,0.474
"II: many controls (n=200, p=50)","bic","full",-0.0143455842145754,0.400243771971911,1.03325571645509,0.956,0.494,0.474
"II: many controls (n=200, p=50)","bic","oal_ipw",0.333390357232678,0.367801415022531,0.993251940136582,0.838,0.494,0.474
"II: many controls (n=200, p=50)","bic","oal_ols",0.0800463403165328,0.3800554732408,0.893507079746969,0.912,0.494,0.474
"II: many controls (n=200, p=50)","wamd","oracle",0.0193078426785194,0.322815445393338,0.993334866882845,0.948,0.886,0.882
"II: many controls (n=200, p=50)","wamd","full",-0.0143455842145754,0.400243771971911,1.03325571645509,0.956,0.886,0.882
"II: many controls (n=200, p=50)","wamd","oal_ipw",0.218693870167624,0.422414115317046,0.994258376244871,0.908,0.886,0.882
"II: many controls (n=200, p=50)","wamd","oal_ols",-0.00141685839676609,0.397064318308869,0.914679325574261,0.926,0.886,0.882
